zeriArtist,zeriArtwork,viafArtwork,avg,zeriLabel,viafLabel,include
https://w3id.org/zericatalog/person/4573/barocci-federico,https://w3id.org/zericatalog/artwork/32340,http://viaf.org/viaf/189539272,53,"Titolo tradizionale ""Madonna delle Nuvole""",Madonna della Gatta,
https://w3id.org/zericatalog/person/4573/barocci-federico,https://w3id.org/zericatalog/artwork/32340,http://viaf.org/viaf/201890875,57,"Titolo tradizionale ""Madonna delle Nuvole""",Madonna del Popolo,
https://w3id.org/zericatalog/person/9192/sanzio-raffaello,https://w3id.org/zericatalog/artwork/29946,http://viaf.org/viaf/313699703,62," ""Sanzio Raffaello , Compianto sul Cristo morto"" , (elemento d'insieme)",Raffaello,
https://w3id.org/zericatalog/person/10263/vecellio-tiziano,https://w3id.org/zericatalog/artwork/45030,http://viaf.org/viaf/312331474,51," ""Vecellio Tiziano , Ritratto maschile"" ",Tiziano 1981,
https://w3id.org/zericatalog/person/10263/vecellio-tiziano,https://w3id.org/zericatalog/artwork/45030,http://viaf.org/viaf/312331474,51," ""Vecellio Tiziano , Ritratto maschile"" ",Tiziano 1990,
https://w3id.org/zericatalog/person/10263/vecellio-tiziano,https://w3id.org/zericatalog/artwork/45030,http://viaf.org/viaf/312331474,51," ""Vecellio Tiziano , Ritratto maschile"" ",Tiziano 1988,
https://w3id.org/zericatalog/person/10263/vecellio-tiziano,https://w3id.org/zericatalog/artwork/45030,http://viaf.org/viaf/312331474,66," ""Vecellio Tiziano , Ritratto maschile"" ",Tiziano,
https://w3id.org/zericatalog/person/10263/vecellio-tiziano,https://w3id.org/zericatalog/artwork/45030,http://viaf.org/viaf/312331474,62," ""Vecellio Tiziano , Ritratto maschile"" ",Tiziano.,
https://w3id.org/zericatalog/person/10263/vecellio-tiziano,https://w3id.org/zericatalog/artwork/45030,http://viaf.org/viaf/312331474,51," ""Vecellio Tiziano , Ritratto maschile"" ",Tiziano 1998,
https://w3id.org/zericatalog/person/9192/sanzio-raffaello,https://w3id.org/zericatalog/artwork/29062,http://viaf.org/viaf/313699703,63," ""Sanzio Raffaello , Madonna con Bambino, Madonna con Bambino"" ",Raffaello,
https://w3id.org/zericatalog/person/9563/sogliani-giovanni-antonio,https://w3id.org/zericatalog/artwork/36316,http://viaf.org/viaf/212922678,52," ""Sogliani Giovanni Antonio , Adorazione del Bambino con san Giovannino e un angelo"" ",San Giovanni Battista,
https://w3id.org/zericatalog/person/2776/carucci-iacopo,https://w3id.org/zericatalog/artwork/38506,http://viaf.org/viaf/190879526,71," ""Carucci Iacopo , Ritratto di gentiluomo"" ",ritratto di Gentiluomo (peinture),Y
