name,label,viaf,lc,isni,bnf,dnb,wd,wikipedia
F. Rusk Shapley,"Shapley, Fern Rusk",http://viaf.org/viaf/71523716,http://id.loc.gov/authorities/names/n79054345,http://isni.org/isni/000000002186305X,http://catalogue.bnf.fr/ark:/12148/cb12969464r,,http://www.wikidata.org/entity/Q19766238,
F. Russoli,"Russoli, Franco",http://viaf.org/viaf/83125926,http://id.loc.gov/authorities/names/n79040125,http://isni.org/isni/0000000109199501,http://catalogue.bnf.fr/ark:/12148/cb119231488,http://d-nb.info/gnd/121844056,http://www.wikidata.org/entity/Q30076338,https://it.wikipedia.org/wiki/Franco_Russoli
F. Santi,"Santi, Francesco",http://viaf.org/viaf/107534150,http://id.loc.gov/authorities/names/n2011025983,http://isni.org/isni/0000000118870483,,http://d-nb.info/gnd/1065353979,,
F. Todini,"Todini, Filippo",http://viaf.org/viaf/6297136,http://id.loc.gov/authorities/names/n82255308,http://isni.org/isni/000000008076211X,,,,
F. Zeri,"Zeri, Federico",http://viaf.org/viaf/17237451,http://id.loc.gov/authorities/names/n50014073,http://isni.org/isni/0000000122769898,http://catalogue.bnf.fr/ark:/12148/cb12027091p,http://d-nb.info/gnd/11932184X,http://www.wikidata.org/entity/Q1089074,https://en.wikipedia.org/wiki/Federico_Zeri
F.M. Perkins,"Perkins, F. Mason",http://viaf.org/viaf/62624606,,,,http://d-nb.info/gnd/129308072,http://www.wikidata.org/entity/Q3752743,https://en.wikipedia.org/wiki/Frederick_Mason_Perkins
G. Bellesi,G. Bellesi,,,,,,,
G. Briganti,"Briganti, Giuliano",http://viaf.org/viaf/19752554,http://id.loc.gov/authorities/names/n79135405,http://isni.org/isni/0000000108765575,http://catalogue.bnf.fr/ark:/12148/cb12348104c,http://d-nb.info/gnd/119345404,http://www.wikidata.org/entity/Q3769356,https://en.wikipedia.org/wiki/Giuliano_Briganti
M. Novelli,"Novelli, Maria Angela",http://viaf.org/viaf/43310332,http://id.loc.gov/authorities/names/n85820683,http://isni.org/isni/0000000083432271,http://catalogue.bnf.fr/ark:/12148/cb112287060,http://d-nb.info/gnd/137363400,,
G. Cantalamessa,"Cantalamessa, Giulio",http://viaf.org/viaf/88858402,http://id.loc.gov/authorities/names/nr2004005998,http://isni.org/isni/0000000114771840,,http://d-nb.info/gnd/123277809,http://www.wikidata.org/entity/Q24035646,https://en.wikipedia.org/wiki/Giulio_Cantalamessa
G. Carocci,"Carocci, Guido",http://viaf.org/viaf/114077693,http://id.loc.gov/authorities/names/n80070778,http://isni.org/isni/0000000081821310,,http://d-nb.info/gnd/137990162,http://www.wikidata.org/entity/Q3779219,https://it.wikipedia.org/wiki/Guido_Carocci
G. Corti,"Corti, Gino",http://viaf.org/viaf/59098155,http://id.loc.gov/authorities/names/n79002425,http://isni.org/isni/0000000061290532,http://catalogue.bnf.fr/ark:/12148/cb12030567q,,,
G. Duliere,G. Duliere,,,,,,,
G. Fiocco,"Fiocco, Giuseppe, 1884-1971",http://viaf.org/viaf/29839498,http://id.loc.gov/authorities/names/n79040003,http://isni.org/isni/0000000108840432,http://catalogue.bnf.fr/ark:/12148/cb15520638g,http://d-nb.info/gnd/123673674,http://www.wikidata.org/entity/Q3770555,https://it.wikipedia.org/wiki/Giuseppe_Fiocco
A. Porcella,"Porcella, Amadore",http://viaf.org/viaf/88922387,,http://isni.org/isni/000000006164445X,,,,
G. Gamulin,"Gamulin, Grgo",http://viaf.org/viaf/73853752,http://id.loc.gov/authorities/names/n80137968,http://isni.org/isni/0000000110705969,http://catalogue.bnf.fr/ark:/12148/cb11904026h,http://d-nb.info/gnd/1050904842,http://www.wikidata.org/entity/Q11056533,https://hr.wikipedia.org/wiki/Grgo_Gamulin
G. Glück,"Glück, Gustav",http://viaf.org/viaf/30294075,http://id.loc.gov/authorities/names/nr95027955,http://isni.org/isni/0000000110235629,,http://d-nb.info/gnd/101104340,http://www.wikidata.org/entity/Q214493,https://de.wikipedia.org/wiki/Gustav_Gl\u00fcck
G. Godi,"Godi, Giovanni",http://viaf.org/viaf/22168938,http://id.loc.gov/authorities/names/n82249249,http://isni.org/isni/0000000061197434,http://catalogue.bnf.fr/ark:/12148/cb12091204g,http://d-nb.info/gnd/132178273,,
G. Gronau,"Gronau, Georg, 1868-1938",http://viaf.org/viaf/15530856,http://id.loc.gov/authorities/names/nb2004309548,http://isni.org/isni/0000000115995299,,http://d-nb.info/gnd/116865253,http://www.wikidata.org/entity/Q19753875,https://fr.wikipedia.org/wiki/Georg_Gronau
G. Matzeu,"Matzeu, Giusto",http://viaf.org/viaf/46380089,http://id.loc.gov/authorities/names/no98070916,http://isni.org/isni/0000000046615159,,,,
G. Orsini,G. Orsini,,,,,,,
